family,set,sharpe,ann_ret,max_dd,n_trades
A,"[1, 2, 3, 4]",0.3753,0.035793,-0.308493,293
A,"[1, 2, 3, 5]",0.3488,0.032894,-0.319301,318
A,"[1, 2, 3, 6]",0.3794,0.036298,-0.32384,320
A,"[1, 2, 3, 7]",0.3637,0.034009,-0.291818,321
A,"[1, 2, 3, 8]",0.3811,0.036602,-0.290279,321
A,"[1, 2, 3, 9]",0.3288,0.030031,-0.300853,321
A,"[1, 2, 3, 10]",0.3856,0.036978,-0.299963,321
A,"[1, 2, 3, 11]",0.3511,0.033114,-0.323095,321
A,"[1, 2, 3, 12]",0.3081,0.027832,-0.312578,293
A,"[1, 2, 4, 5]",0.3076,0.028431,-0.346047,319
A,"[1, 2, 4, 6]",0.3334,0.031329,-0.351332,345
A,"[1, 2, 4, 7]",0.3172,0.029071,-0.320152,346
A,"[1, 2, 4, 8]",0.3356,0.031671,-0.318653,346
A,"[1, 2, 4, 9]",0.2826,0.025129,-0.316078,346
A,"[1, 2, 4, 10]",0.3399,0.032056,-0.327952,346
A,"[1, 2, 4, 11]",0.3058,0.028203,-0.350178,346
A,"[1, 2, 4, 12]",0.2627,0.02298,-0.340052,318
A,"[1, 2, 5, 6]",0.3188,0.029812,-0.360002,320
A,"[1, 2, 5, 7]",0.2994,0.027201,-0.330337,347
A,"[1, 2, 5, 8]",0.3185,0.029834,-0.328896,347
A,"[1, 2, 5, 9]",0.266,0.023382,-0.336199,347
A,"[1, 2, 5, 10]",0.3233,0.030276,-0.338022,347
A,"[1, 2, 5, 11]",0.2892,0.026406,-0.359947,347
A,"[1, 2, 5, 12]",0.2455,0.021148,-0.349935,319
A,"[1, 2, 6, 7]",0.3393,0.031616,-0.333353,321
A,"[1, 2, 6, 8]",0.3488,0.03325,-0.333169,349
A,"[1, 2, 6, 9]",0.2945,0.026514,-0.33573,349
A,"[1, 2, 6, 10]",0.3514,0.033434,-0.342271,349
A,"[1, 2, 6, 11]",0.3179,0.02965,-0.364014,349
A,"[1, 2, 6, 12]",0.2759,0.024513,-0.354119,321
A,"[1, 2, 7, 8]",0.3411,0.03189,-0.299216,322
A,"[1, 2, 7, 9]",0.2763,0.024147,-0.310262,350
A,"[1, 2, 7, 10]",0.3342,0.031024,-0.310788,350
A,"[1, 2, 7, 11]",0.3008,0.027313,-0.33359,350
A,"[1, 2, 7, 12]",0.2587,0.022289,-0.3232,322
A,"[1, 2, 8, 9]",0.3005,0.027233,-0.306898,322
A,"[1, 2, 8, 10]",0.3507,0.03343,-0.309309,350
A,"[1, 2, 8, 11]",0.3187,0.029811,-0.332154,350
A,"[1, 2, 8, 12]",0.2791,0.02494,-0.321734,322
A,"[1, 2, 9, 10]",0.3016,0.027304,-0.305325,322
A,"[1, 2, 9, 11]",0.2653,0.023264,-0.342527,350
A,"[1, 2, 9, 12]",0.2247,0.018504,-0.318759,322
A,"[1, 2, 10, 11]",0.3304,0.031048,-0.341212,322
A,"[1, 2, 10, 12]",0.2841,0.025417,-0.330952,322
A,"[1, 2, 11, 12]",0.2574,0.022474,-0.351424,294
A,"[1, 3, 4, 5]",0.3845,0.037021,-0.31542,320
A,"[1, 3, 4, 6]",0.4105,0.039924,-0.321082,346
A,"[1, 3, 4, 7]",0.3956,0.037652,-0.288422,347
A,"[1, 3, 4, 8]",0.4125,0.040274,-0.290339,347
A,"[1, 3, 4, 9]",0.361,0.033681,-0.284077,347
A,"[1, 3, 4, 10]",0.4172,0.040661,-0.296592,347
A,"[1, 3, 4, 11]",0.3827,0.036787,-0.319863,347
A,"[1, 3, 4, 12]",0.3413,0.031599,-0.309275,319
A,"[1, 3, 5, 6]",0.3866,0.037353,-0.337973,345
A,"[1, 3, 5, 7]",0.3681,0.034707,-0.304053,372
A,"[1, 3, 5, 8]",0.386,0.037364,-0.308638,372
A,"[1, 3, 5, 9]",0.3347,0.03086,-0.302921,372
A,"[1, 3, 5, 10]",0.3912,0.037809,-0.309449,372
A,"[1, 3, 5, 11]",0.3567,0.033919,-0.332319,372
A,"[1, 3, 5, 12]",0.3146,0.028709,-0.32193,344
A,"[1, 3, 6, 7]",0.4087,0.039151,-0.309263,346
A,"[1, 3, 6, 8]",0.4168,0.040797,-0.314714,374
A,"[1, 3, 6, 9]",0.3636,0.034007,-0.308678,374
A,"[1, 3, 6, 10]",0.4196,0.040981,-0.315498,374
A,"[1, 3, 6, 11]",0.3857,0.037173,-0.338166,374
A,"[1, 3, 6, 12]",0.3455,0.032098,-0.327847,346
A,"[1, 3, 7, 8]",0.4099,0.03938,-0.277789,347
A,"[1, 3, 7, 9]",0.3463,0.031588,-0.276229,375
A,"[1, 3, 7, 10]",0.4032,0.038513,-0.280272,375
A,"[1, 3, 7, 11]",0.3693,0.034774,-0.304077,375
A,"[1, 3, 7, 12]",0.329,0.029807,-0.29326,347
A,"[1, 3, 8, 9]",0.3689,0.034661,-0.276524,347
A,"[1, 3, 8, 10]",0.4181,0.040899,-0.285028,375
A,"[1, 3, 8, 11]",0.3857,0.037259,-0.308675,375
A,"[1, 3, 8, 12]",0.3478,0.032447,-0.297913,347
A,"[1, 3, 9, 10]",0.3698,0.034691,-0.277454,347
A,"[1, 3, 9, 11]",0.3331,0.030613,-0.310113,375
A,"[1, 3, 9, 12]",0.294,0.025906,-0.291725,347
A,"[1, 3, 10, 11]",0.3973,0.038445,-0.31144,347
A,"[1, 3, 10, 12]",0.3527,0.032873,-0.300708,347
A,"[1, 3, 11, 12]",0.3255,0.029905,-0.322117,319
A,"[1, 4, 5, 6]",0.3507,0.033506,-0.36377,320
A,"[1, 4, 5, 7]",0.3316,0.03086,-0.330907,347
A,"[1, 4, 5, 8]",0.3501,0.033506,-0.335324,347
A,"[1, 4, 5, 9]",0.2984,0.027032,-0.329477,347
A,"[1, 4, 5, 10]",0.355,0.033948,-0.336086,347
A,"[1, 4, 5, 11]",0.3209,0.030073,-0.358059,347
A,"[1, 4, 5, 12]",0.2787,0.024888,-0.348043,319
A,"[1, 4, 6, 7]",0.3672,0.034796,-0.336362,345
A,"[1, 4, 6, 8]",0.3762,0.036438,-0.341591,373
A,"[1, 4, 6, 9]",0.3225,0.029679,-0.335778,373
A,"[1, 4, 6, 10]",0.3788,0.036622,-0.342374,373
A,"[1, 4, 6, 11]",0.3453,0.032825,-0.364131,373
A,"[1, 4, 6, 12]",0.3047,0.027773,-0.35421,345
A,"[1, 4, 7, 8]",0.3688,0.035057,-0.305619,346
A,"[1, 4, 7, 9]",0.3048,0.027299,-0.301093,374
A,"[1, 4, 7, 10]",0.362,0.034193,-0.308021,374
A,"[1, 4, 7, 11]",0.3285,0.030463,-0.330926,374
A,"[1, 4, 7, 12]",0.2878,0.025519,-0.320488,346
A,"[1, 4, 8, 9]",0.3281,0.030364,-0.304408,346
A,"[1, 4, 8, 10]",0.3778,0.036581,-0.312579,374
A,"[1, 4, 8, 11]",0.3458,0.032962,-0.335308,374
A,"[1, 4, 8, 12]",0.3074,0.028157,-0.324962,346
A,"[1, 4, 9, 10]",0.329,0.030401,-0.305304,346
A,"[1, 4, 9, 11]",0.2927,0.026343,-0.3304,374
A,"[1, 4, 9, 12]",0.2534,0.021663,-0.319006,346
A,"[1, 4, 10, 11]",0.3572,0.034145,-0.336988,346
A,"[1, 4, 10, 12]",0.3122,0.028596,-0.326698,346
A,"[1, 4, 11, 12]",0.2855,0.025649,-0.347289,318
A,"[1, 5, 6, 7]",0.352,0.033258,-0.352784,320
A,"[1, 5, 6, 8]",0.3614,0.034909,-0.357898,348
A,"[1, 5, 6, 9]",0.3077,0.028155,-0.352245,348
A,"[1, 5, 6, 10]",0.364,0.035099,-0.358646,348
A,"[1, 5, 6, 11]",0.3307,0.031303,-0.379855,348
A,"[1, 5, 6, 12]",0.29,0.026253,-0.370205,320
A,"[1, 5, 7, 8]",0.3507,0.033163,-0.323439,347
A,"[1, 5, 7, 9]",0.2866,0.025414,-0.319051,375
A,"[1, 5, 7, 10]",0.3438,0.032294,-0.325799,375
A,"[1, 5, 7, 11]",0.3106,0.02858,-0.348087,375
A,"[1, 5, 7, 12]",0.2698,0.023639,-0.337941,347
A,"[1, 5, 8, 9]",0.3106,0.028512,-0.322278,347
A,"[1, 5, 8, 10]",0.3603,0.034719,-0.330246,375
A,"[1, 5, 8, 11]",0.3285,0.031094,-0.352396,375
A,"[1, 5, 8, 12]",0.2901,0.026314,-0.342321,347
A,"[1, 5, 9, 10]",0.3121,0.028624,-0.32314,347
A,"[1, 5, 9, 11]",0.276,0.024576,-0.347585,375
A,"[1, 5, 9, 12]",0.2366,0.019903,-0.336486,347
A,"[1, 5, 10, 11]",0.3404,0.032348,-0.353133,347
A,"[1, 5, 10, 12]",0.2954,0.026814,-0.343054,347
A,"[1, 5, 11, 12]",0.2686,0.023838,-0.363143,319
A,"[1, 6, 7, 8]",0.3918,0.037735,-0.328331,321
A,"[1, 6, 7, 9]",0.3272,0.029819,-0.32396,349
A,"[1, 6, 7, 10]",0.3839,0.036738,-0.330638,349
A,"[1, 6, 7, 11]",0.3505,0.033005,-0.352794,349
A,"[1, 6, 7, 12]",0.3103,0.028049,-0.34271,321
A,"[1, 6, 8, 9]",0.3416,0.031934,-0.328022,349
A,"[1, 6, 8, 10]",0.3908,0.038155,-0.335935,377
A,"[1, 6, 8, 11]",0.3588,0.034525,-0.357895,377
A,"[1, 6, 8, 12]",0.3208,0.029725,-0.34788,349
A,"[1, 6, 9, 10]",0.3406,0.03178,-0.32889,349
A,"[1, 6, 9, 11]",0.3044,0.027714,-0.353131,377
A,"[1, 6, 9, 12]",0.2654,0.023031,-0.342143,349
A,"[1, 6, 10, 11]",0.3685,0.035525,-0.358628,349
A,"[1, 6, 10, 12]",0.3238,0.029966,-0.348621,349
A,"[1, 6, 11, 12]",0.2977,0.027077,-0.368571,321
A,"[1, 7, 8, 9]",0.3343,0.030651,-0.291489,322
A,"[1, 7, 8, 10]",0.384,0.036805,-0.299814,350
A,"[1, 7, 8, 11]",0.3513,0.033171,-0.322969,350
A,"[1, 7, 8, 12]",0.3127,0.028379,-0.31244,322
A,"[1, 7, 9, 10]",0.3236,0.029424,-0.294004,350
A,"[1, 7, 9, 11]",0.2867,0.025368,-0.3195,378
A,"[1, 7, 9, 12]",0.2467,0.020689,-0.307947,350
A,"[1, 7, 10, 11]",0.3518,0.033123,-0.325288,350
A,"[1, 7, 10, 12]",0.3061,0.027576,-0.314765,350
A,"[1, 7, 11, 12]",0.2801,0.024755,-0.335739,322
A,"[1, 8, 9, 10]",0.3462,0.032466,-0.297359,322
A,"[1, 8, 9, 11]",0.3106,0.028465,-0.322727,350
A,"[1, 8, 9, 12]",0.2718,0.023772,-0.311217,322
A,"[1, 8, 10, 11]",0.3679,0.035539,-0.32974,350
A,"[1, 8, 10, 12]",0.3233,0.029972,-0.319302,350
A,"[1, 8, 11, 12]",0.2987,0.027261,-0.340125,322
A,"[1, 9, 10, 11]",0.3188,0.029334,-0.323548,322
A,"[1, 9, 10, 12]",0.2733,0.023898,-0.312079,322
A,"[1, 9, 11, 12]",0.2444,0.020739,-0.335221,322
A,"[1, 10, 11, 12]",0.3105,0.028502,-0.340984,294
A,"[2, 3, 4, 5]",0.2835,0.025781,-0.334016,293
A,"[2, 3, 4, 6]",0.3089,0.028652,-0.339519,319
A,"[2, 3, 4, 7]",0.2924,0.026404,-0.307747,320
A,"[2, 3, 4, 8]",0.3116,0.029036,-0.306272,320
A,"[2, 3, 4, 9]",0.2587,0.022568,-0.305032,320
A,"[2, 3, 4, 10]",0.3167,0.02953,-0.315156,320
A,"[2, 3, 4, 11]",0.2824,0.025638,-0.338125,320
A,"[2, 3, 4, 12]",0.24,0.020492,-0.329228,320
A,"[2, 3, 5, 6]",0.286,0.026124,-0.348746,318
A,"[2, 3, 5, 7]",0.266,0.023516,-0.318574,345
A,"[2, 3, 5, 8]",0.286,0.026176,-0.317086,345
A,"[2, 3, 5, 9]",0.2335,0.019808,-0.326805,345
A,"[2, 3, 5, 10]",0.2917,0.026736,-0.325843,345
A,"[2, 3, 5, 11]",0.2573,0.022827,-0.34846,345
A,"[2, 3, 5, 12]",0.2141,0.01765,-0.3397,345
A,"[2, 3, 6, 7]",0.3055,0.027901,-0.321837,319
A,"[2, 3, 6, 8]",0.316,0.029569,-0.321643,347
A,"[2, 3, 6, 9]",0.2616,0.02291,-0.326553,347
A,"[2, 3, 6, 10]",0.3194,0.02986,-0.33032,347
A,"[2, 3, 6, 11]",0.2857,0.026041,-0.352797,347
A,"[2, 3, 6, 12]",0.2443,0.020995,-0.34408,347
A,"[2, 3, 7, 8]",0.3074,0.028171,-0.287429,320
