cell,face,sharpe,ann_ret,max_dd,oos_sharpe,oos_ann,n_entries,n_trades,n_rebal,n_active_rebal,k_min,k_max,turnover,cost_total,g1_pass,g2_eligible,d6_max_abs_corr
REV20_bare,x1,0.1976,-0.003227,-0.887792,0.4607,0.104149,15515,29039,879,877,1,20,1396.4745,2.37803675,False,False,0.3238
REV20_bare,x2,0.0705,-0.054089,-0.931674,0.3002,0.044647,15515,29039,879,877,1,20,1396.4745,2.0525937,,,
REV20_bare,x3,-0.0564,-0.102459,-0.986572,0.1402,-0.011771,15515,29039,879,877,1,20,1396.4745,1.63424217,,,
REV60_bare,x1,0.4757,0.312203,-0.78374,0.5603,0.137241,13973,24938,879,873,1,20,980.8138,4669.14579474,False,False,0.2803
REV60_bare,x2,0.4377,0.264848,-0.811328,0.4307,0.090594,13973,24938,879,873,1,20,980.8138,3351.37744112,,,
REV60_bare,x3,0.3996,0.219128,-0.836441,0.3009,0.045781,13973,24938,879,873,1,20,980.8138,1871.0157292,,,
REV20_tilt,x1,0.0104,-0.029488,-0.871671,0.8726,0.203178,15316,29009,879,851,1,20,890.594,0.68020318,False,False,0.312
REV20_tilt,x2,-0.1202,-0.061353,-0.953364,0.705,0.154624,15316,29009,879,851,1,20,890.594,0.89222208,,,
REV20_tilt,x3,-0.2504,-0.092229,-0.983084,0.5374,0.10794,15316,29009,879,851,1,20,890.594,0.95628664,,,
REV60_tilt,x1,0.4217,0.246524,-0.666591,0.7593,0.16395,13754,24922,879,847,1,20,732.7372,676.10036174,False,False,0.2494
REV60_tilt,x2,0.389,0.212771,-0.675769,0.6173,0.125507,13754,24922,879,847,1,20,732.7372,654.51205151,,,
REV60_tilt,x3,0.3563,0.179885,-0.694683,0.4751,0.088273,13754,24922,879,847,1,20,732.7372,488.28647086,,,
