name,face,sharpe,ann_ret,max_dd,monthly_pos_rate,n_trades,n_entries,turnover_per_yr,total_cost_cny,years,n_months,commission_floor_hits,fill_cap_refusals,first_exec_day,warmup_note
MF-SR2,v2_main,0.05402,-0.02992,-0.49065,0.5125,3048.0,1474.0,470.935622,268512.006322,6.472222,80.0,713.0,112.0,2020-04-03,"cash accrual until first valid signal; first exec 2020-04-03 (lookback-dependent, prereg §3)"
MF-SR2,cost_x2,-0.072919,-0.066369,,,,,,,,,,,,
MF-SR2,cost_x3,-0.188012,-0.098291,,,,,,,,,,,,
MF-SR2W,v2_main,0.099214,-0.017586,-0.514489,0.525,1404.0,670.0,216.927039,204384.000506,6.472222,80.0,298.0,215.0,2020-04-07,"cash accrual until first valid signal; first exec 2020-04-07 (lookback-dependent, prereg §3)"
MF-SR2W,cost_x2,0.011143,-0.04379,,,,,,,,,,,,
MF-SR2W,cost_x3,-0.086661,-0.072136,,,,,,,,,,,,
MF-DM,v2_main,-0.066674,-0.074,-0.577388,0.5,415.0,192.0,64.120172,79362.625378,6.472222,80.0,29.0,14.0,2020-02-03,"cash accrual until first valid signal; first exec 2020-02-03 (lookback-dependent, prereg §3)"
MF-DM,cost_x2,-0.110042,-0.087081,,,,,,,,,,,,
MF-DM,cost_x3,-0.15321,-0.099943,,,,,,,,,,,,
MF-GEM,v2_main,0.007984,-0.12825,-0.866125,0.6625,27.0,14.0,4.171674,6525.641096,6.472222,80.0,4.0,6.0,2021-02-01,"cash accrual until first valid signal; first exec 2021-02-01 (lookback-dependent, prereg §3)"
MF-GEM,cost_x2,0.001444,-0.130926,,,,,,,,,,,,
MF-GEM,cost_x3,-0.005241,-0.13362,,,,,,,,,,,,
PASSIVE-EW48-BH,passive,0.351467,0.039754,-0.317348,,37.0,,,,6.472222,,,,,
PASSIVE-510300-BH,passive,0.181377,0.016515,-0.450958,,1.0,,,,6.472222,,,,,
PASSIVE-EW48-MONTHLY,passive,0.376382,0.051262,-0.357309,,1560.0,,,,6.472222,,,,,
