episode,name,start,end,truncated,n_days,dd250_trough,dd250_trough_date,v1_G,v1_Y,v1_O,v1_R,v1_RO_share,v1_orange_rounds_in,v1_orange_fa_in,v2_G,v2_Y,v2_O,v2_R,v2_RO_share,v2_orange_rounds_in,v2_orange_fa_in,v3_G,v3_Y,v3_O,v3_R,v3_RO_share,v3_orange_rounds_in,v3_orange_fa_in
1,2008 GFC,2007-06-04,2007-06-12,False,7,-0.1576,2007-06-04,3,0,0,4,0.5714,0,0,3,0,0,4,0.5714,0,0,3,0,1,3,0.5714,0,0
2,2008 GFC,2007-07-05,2007-07-23,False,13,-0.1682,2007-07-05,8,2,0,3,0.2308,0,0,8,2,0,3,0.2308,0,0,8,2,1,2,0.2308,0,0
3,2008 GFC,2007-11-12,2008-01-09,False,41,-0.209,2007-11-28,27,0,14,0,0.3415,2,1,27,0,14,0,0.3415,2,1,27,14,0,0,0.0,0,0
4,2008 GFC,2008-01-22,2009-06-18,False,342,-0.716,2008-11-04,49,5,11,277,0.8421,1,0,52,14,7,269,0.807,2,0,52,21,4,265,0.7865,0,0
5,2009-08 机械段（规则发现）,2009-08-17,2009-11-16,False,60,-0.2526,2009-08-31,34,1,4,21,0.4167,1,1,34,1,4,21,0.4167,1,1,34,5,1,20,0.35,0,0
6,2011 熊,2010-01-27,2010-11-05,False,185,-0.3365,2010-07-05,29,0,42,114,0.8432,3,1,66,29,23,67,0.4865,1,0,66,52,2,65,0.3622,0,0
7,2011 熊,2010-11-17,2011-04-13,False,98,-0.1719,2011-01-25,75,6,9,8,0.1735,1,1,76,14,0,8,0.0816,0,0,76,14,8,0,0.0816,0,0
8,2011-05 机械段（规则发现）,2011-05-25,2013-01-15,False,402,-0.3249,2012-01-05,18,2,79,303,0.9502,2,1,143,171,88,0,0.2189,1,1,143,259,0,0,0.0,0,0
9,2013-06 机械段（规则发现）,2013-06-20,2014-09-02,False,297,-0.2228,2014-02-27,40,0,69,188,0.8653,4,2,215,46,2,34,0.1212,0,0,215,48,1,33,0.1145,0,0
10,2016 熔断,2015-06-26,2017-01-26,False,390,-0.467,2016-01-28,99,8,4,279,0.7256,2,2,106,19,0,265,0.6795,0,0,106,19,2,263,0.6795,0,0
11,2018-05 机械段（规则发现）,2018-05-30,2019-03-29,False,204,-0.3246,2019-01-03,4,25,19,156,0.8578,0,0,24,77,103,0,0.5049,2,2,24,180,0,0,0.0,0,0
12,2020 COVID,2020-03-23,2020-06-05,False,51,-0.1608,2020-03-23,15,0,7,29,0.7059,1,1,28,5,0,18,0.3529,0,0,28,5,1,17,0.3529,0,0
13,2021-22 熊,2021-03-24,2023-08-04,False,576,-0.3098,2022-10-31,92,22,228,234,0.8021,8,5,247,154,112,63,0.3038,4,1,247,260,9,60,0.1198,0,0
14,2024-01 微盘崩,2023-10-19,2024-09-27,False,232,-0.2422,2024-02-02,17,11,115,89,0.8793,2,2,59,148,25,0,0.1078,3,2,59,173,0,0,0.0,0,0
15,2025-04 机械段（规则发现）,2025-04-07,2025-07-18,False,71,-0.1566,2025-04-07,40,9,0,22,0.3099,0,0,40,9,0,22,0.3099,0,0,40,9,1,21,0.3099,0,0
