cell,face,sharpe_full,ann_ret,max_dd,n_days,median_abs_r,p999_abs_r
BASE,x1,0.3831,0.02665,-0.765265,8792,0.001069,0.035476
BASE,x2,-0.1523,-0.014354,-0.860257,8792,0.001104,0.035058
BASE_BG,x1,0.3778,0.018468,-0.450165,8792,0.0,0.031737
BASE_BG,x2,0.0536,0.001444,-0.51855,8792,0.0,0.031285
FY_BG,x1,-0.2777,-0.015221,-0.710347,8792,0.0,0.029995
FY_BG,x2,-0.6045,-0.031379,-0.801147,8792,0.0,0.030172
FY_BG_TP8,x1,-0.219,-0.014384,-0.57193,8792,0.0,0.036853
FY_BG_TP8,x2,-0.505,-0.030544,-0.707232,8792,0.0,0.036583
FY_BG_H10,x1,0.2067,0.010163,-0.684347,8792,0.0,0.025069
FY_BG_H10,x2,-0.0865,-0.00647,-0.741096,8792,0.0,0.025266
DWR_BG_TP8,x1,-0.1687,-0.011723,-0.493751,8792,0.0,0.039543
DWR_BG_TP8,x2,-0.4457,-0.027716,-0.672793,8792,0.0,0.03876
FY_BG_INVVOL,x1,-0.2645,-0.014244,-0.723049,8792,0.0,0.029238
FY_BG_INVVOL,x2,-0.5983,-0.030424,-0.809854,8792,0.0,0.028975
