prospect lane: forward_guard t14_rules_fidelity.build_guard wired (up=24 dn=42)
PROS-ANTS-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-ANTS-01.json
PROS-ANTS-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-ANTS-CE-01.json
PROS-BBS-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-BBS-01.json
PROS-BBS-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-BBS-CE-01.json
PROS-DOJI-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-DOJI-01.json
PROS-DOJI-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-DOJI-CE-01.json
PROS-DUCK-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-DUCK-01.json
PROS-DUCK-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-DUCK-CE-01.json
PROS-HAM-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-HAM-01.json
PROS-HAM-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-HAM-CE-01.json
PROS-IBB-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-IBB-01.json
PROS-IBB-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-IBB-CE-01.json
PROS-IMM-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-IMM-01.json
PROS-IMM-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-IMM-CE-01.json
PROS-MCB-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-MCB-01.json
PROS-MCB-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-MCB-CE-01.json
PROS-OVB-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-OVB-01.json
PROS-OVB-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-OVB-CE-01.json
PROS-RSRS-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-RSRS-CE-01.json
PROS-TMU-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-TMU-01.json
PROS-TMU-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-TMU-CE-01.json
PROS-VOB-CE-01: prospect anchor OK (cutoff 2026-09-22) | paper 0 bars since 2026-09-24 | months_tracked=0 dd=0.0 | saved C:\Users\sjs20\Desktop\FluxGroup\quant\bigmoney\results\prospect_paper\PROS-VOB-CE-01.json
prospect tracking: OK pass=22/22 drift=0 months_total=0 cutoff=2026-09-23
