arm,n_events,n_untrade,n_limitopen,n_entries,sharpe_full,ann_ret,maxdd,oos_sharpe,g1_pass,g2_pass
P01_daban9,481195,3796,12965,438679,-2.0821,-0.8304,-20.6127,-3.4828,,
P02_yijiner,27334,334,6711,19709,-2.5015,-1.8164,-45.0566,-4.454,,
P03a_duanban_dixi,137737,1135,1016,121657,-0.8489,-0.3483,-8.6627,-1.8711,,
P03b_duanban_fanbao,881,19,63,746,-0.8223,-0.2911,-8.1773,-1.3449,,
P04a_jin,11324,81,93,10499,-0.5314,-0.2555,-6.6608,-0.763,,
P04b_yin,26896,144,86,25215,-1.0521,-0.4744,-12.0334,-1.4562,,
P04c_huo,60646,286,154,56276,-1.4524,-0.5898,-14.6997,-1.6211,,
P06_h1_all,137737,1135,1016,121657,-0.8489,-0.3483,-8.6627,-1.8711,,
P06_h1_yang,112977,932,919,99482,-0.5581,-0.2316,-6.1449,-1.5956,,
P06_h2_all,137737,1135,1016,121626,-1.1242,-0.518,-12.8839,-2.2893,,
P06_h2_yang,112977,932,919,99454,-0.7346,-0.3394,-10.2166,-1.8815,,
P06_h3_all,137737,1135,1016,121600,-0.8704,-0.4536,-12.9751,-2.1089,,
P06_h3_yang,112977,932,919,99433,-0.4716,-0.2431,-10.4773,-1.6004,,
P06_h5_all,137737,1135,1016,121554,-1.4929,-0.951,-24.0028,-2.1536,,
P06_h5_yang,112977,932,919,99400,-1.1682,-0.7351,-19.9786,-1.6038,,
P07a_ditian_uncond,973,8,62,869,-0.0792,-0.0279,-2.5919,-0.4684,,
P07b_ditian_cond,414,1,18,380,0.1821,0.0279,-0.784,-0.286,,
P09a_height4,4990,61,2315,2585,-1.386,-1.0041,-25.4702,-2.3533,,
P09b_height5,2799,32,1632,1122,-1.0699,-0.644,-16.5389,-1.831,,
P09c_space_open,241,18,101,90,0.2693,0.0483,-0.5214,0.2954,,
P10_layaohuihun,826,10,26,775,-0.648,-0.2017,-5.128,-0.4598,,
P11b_genfeng_ctrl,139436,1063,11483,124906,-3.7601,-1.3238,-32.8958,-6.5171,,
P12a_gene_k2,62383,731,16285,44465,-2.4386,-1.6072,-40.838,-4.7252,,
P12b_gene_k3,37860,481,11905,25069,-2.088,-1.5334,-38.5649,-3.6167,,
P12c_gene_k2_vol18,23455,312,7389,15426,-1.7269,-1.3828,-35.8812,-3.1252,,
